Action,without app,with app,App-specific
jmeter_login_and_view_dashboard,853,813,False
jmeter_view_issue,539,629,False
jmeter_view_dashboard,392,380,False
jmeter_search_jql,1133,1158,False
jmeter_view_scrum_board,554,509,False
jmeter_view_backlog,806,731,False
jmeter_create_issue:open_quick_create,167,159,False
jmeter_create_issue:fill_and_submit_issue_form,436,422,False
jmeter_view_kanban_board,497,468,False
jmeter_browse_projects,228,205,False
jmeter_edit_issue:open_editor,299,283,False
jmeter_edit_issue:save_edit,762,830,False
jmeter_view_project_summary,367,340,False
jmeter_add_comment:open_comment,251,234,False
jmeter_add_comment:save_comment,700,749,False
jmeter_browse_boards,246,248,False
selenium_login:open_login_page,121,126,False
selenium_login:login_and_view_dashboard,738,646,False
selenium_login,852,770,False
selenium_project_summary,397,370,False
selenium_browse_projects_list,308,305,False
selenium_browse_boards_list,1607,1558,False
selenium_create_issue:open_quick_create,1554,1540,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,1501,1453,False
selenium_create_issue:fill_and_submit_issue_form,2043,2024,False
selenium_create_issue,3592,3556,False
selenium_edit_issue:open_edit_issue_form,469,428,False
selenium_edit_issue:save_edit_issue_form,540,500,False
selenium_edit_issue,2511,2352,False
selenium_save_comment:open_comment_form,227,218,False
selenium_save_comment:submit_form,764,874,False
selenium_save_comment,2451,2488,False
selenium_search_jql,1715,2234,False
selenium_view_scrum_board_backlog,1738,1702,False
selenium_view_scrum_board,1686,1664,False
selenium_view_kanban_board,1677,1657,False
selenium_view_dashboard,261,244,False
selenium_view_issue,497,595,False
selenium_log_out,356,317,False
